payCardID,Passenger,age,age_group,payCardSex,payCardBank,total_number_of_Transactions,Most_frequent_corridorName,Most_frequent_tapInStopsName,Most_Frequent_tapOutStopsName,signup_date,last_active_date
60403675436,Dr. Taufan Jailani,35,Non-Student,F,flazz,38,Depok - BKN,Sbr. Gg. Saminten,BKN,2023-04-03 07:05:44,2023-04-28 20:23:03
60404498697,Sutan Imam Nasyidah,35,Non-Student,M,flazz,38,Tanah Abang - Kebayoran Lama,Jln. Asshofa Raya,Sbr. Sekolah Bethel,2023-04-03 07:40:42,2023-04-28 20:49:45
60417020934,Hardana Nashiruddin,59,Non-Student,F,flazz,4,Grogol - Tubagus Angke,Jln. Mokmer 1,Jembatan Perempatan Cempaka Putih Timur,2023-04-08 15:35:12,2023-04-30 19:48:11
60421208343,Natalia Hakim,21,Non-Student,M,flazz,4,BSD Serpong - Fatmawati,Gatot Subroto Jamsostek Arah Barat,Bundaran Senayan,2023-04-08 08:27:52,2023-04-29 22:22:31
60427539402,"Lanang Firmansyah, M.Farm",41,Non-Student,F,flazz,1,Ragunan - MH Thamrin via Kuningan,Kuningan Timur,Pejaten,2023-04-12 13:26:00,2023-04-12 16:22:23
60438823183,Vanesa Mahendra,29,Non-Student,F,flazz,4,Cibubur Junction - Blok M,Blok M Jalur 4,Casablanca,2023-04-09 09:35:28,2023-04-29 11:55:32
60459139923,Zelda Thamrin,52,Non-Student,M,flazz,1,Harmoni - Jakarta International Stadium,Danau Agung,Pecenongan,2023-04-01 07:32:50,2023-04-01 08:16:02
60477173011,Chelsea Rahimah,34,Non-Student,F,flazz,4,Ragunan - Blok M via Kemang,Ampera 1,Jln. Tanah Abang IV Cideng,2023-04-08 10:19:25,2023-04-29 09:29:46
501826306422,Juli Wulandari,61,Non-Student,M,flazz,1,Ciputat - Kampung Rambutan,SMK Darussalam,Jln. Wr Supratman,2023-04-09 13:42:01,2023-04-09 15:36:42
501828129459,"Unjani Damanik, S.T.",49,Non-Student,M,flazz,37,Tanah Abang - St. Gondangdia,Explorer Tanah Abang,Pospol Jati Bunder,2023-04-03 05:02:44,2023-04-28 17:59:05
501829329314,Talia Mandasari,55,Non-Student,M,flazz,39,Ragunan - Dukuh Atas 2,Kuningan Madya,Setiabudi Utara,2023-04-03 09:21:02,2023-04-28 21:58:32
501830527583,Mahesa Mustofa,36,Non-Student,F,flazz,4,PGC 2 - Tanjung Priok,Ampera 1,Ahmad Yani Bea Cukai,2023-04-08 16:49:12,2023-04-30 09:49:42
501834837947,Cahyanto Maulana,39,Non-Student,M,flazz,4,Cibubur - BKN,Cibubur Junction,BKN,2023-04-08 10:02:22,2023-04-29 22:29:15
501835583250,Puji Yuliarti,34,Non-Student,F,flazz,4,PGC 2 - Tanjung Priok,Cawang UKI,Cempaka Mas,2023-04-09 08:45:21,2023-04-30 14:59:19
501843492007,"Tgk. Ikin Sitorus, S.I.Kom",58,Non-Student,M,flazz,13,Pelabuhan Kaliadem - Kota,Perumahan Buddha Tzu Chi 1,Landmark Pluit Auto Plaza,2023-04-13 09:47:28,2023-04-19 18:30:22
501844964426,Yahya Namaga,30,Non-Student,F,flazz,37,Rusun Tambora - Pluit,Jembatan Besi,Jembatan Tiga Arah Utara,2023-04-03 08:26:31,2023-04-28 07:38:29
501862539795,drg. Leo Najmudin,39,Non-Student,F,flazz,1,Ciledug - Tendean,Adam Malik,Kebayoran Lama,2023-04-12 21:08:12,2023-04-12 21:34:53
501879923123,Bakianto Mandasari,28,Non-Student,M,flazz,1,Kp. Rambutan - Kalisari,Sbr. Komplek Lapan Pekayon,Simpang Kalisari Raya Lapan,2023-04-01 19:22:21,2023-04-01 22:17:23
501898786352,Martani Haryanti,34,Non-Student,F,flazz,4,Jelambar - Kota,BSI 1,ITC Cipulir,2023-04-08 20:25:14,2023-04-29 09:44:07
502001656953,Jaka Zulaika,28,Non-Student,F,flazz,40,Puri Beta 2 - Tendean,Adam Malik,Puri Beta 2,2023-04-03 06:36:29,2023-04-28 23:29:44
502010098205,Violet Aryani,66,Non-Student,M,flazz,4,Rusun Kapuk Muara - Penjaringan,Karet Sudirman,Dukuh Atas,2023-04-09 13:25:51,2023-04-30 07:37:43
502018648266,"Okto Mandasari, S.E.I",24,Non-Student,F,flazz,4,Pulo Gebang - Pulo Gadung 2 via PIK,Al Wathoniyah 1,Enggano 1,2023-04-08 08:25:19,2023-04-30 07:28:41
502034641014,"Adikara Kurniawan, S.Sos",21,Non-Student,M,flazz,37,Pinang Ranti - Pluit,Jembatan Dua,Pluit,2023-04-03 06:24:23,2023-04-28 17:56:04
502041776746,Kiandra Gunarto,41,Non-Student,M,flazz,1,Senen - Pulo Gadung,Ps. Pulo Gadung 2,Pulo Gadung 4,2023-04-20 07:54:53,2023-04-20 08:56:51
502056340149,Hani Sihombing,42,Non-Student,F,flazz,1,Tanjung Priok - Plumpang,Jln. Swasembada Barat III,Jln. Warakas V,2023-04-13 05:06:51,2023-04-13 06:39:54
502057680857,Daru Budiyanto,40,Non-Student,M,flazz,39,Kampung Rambutan - Pondok Gede,Jln. Rama IX,Jln. SPG 7,2023-04-03 08:11:26,2023-04-28 19:36:36
502060771669,Titi Andriani,42,Non-Student,M,flazz,4,Ciputat - Kampung Rambutan,Flyover Ps. Klender 2,Pool Hiba Utama 2,2023-04-08 14:44:29,2023-04-29 06:01:49
502072062834,Kalim Namaga,53,Non-Student,M,flazz,38,Pasar Minggu - Tanah Abang,RS Medistra,MH Thamrin,2023-04-03 06:25:22,2023-04-28 18:35:51
502079867680,Kasiyah Prakasa,24,Non-Student,F,flazz,14,JIS - Terminal Muara Angke,BNN Jakarta Utara,SD Diakonia 2,2023-04-13 08:16:07,2023-04-19 21:13:49
502084785232,"Drs. Marsudi Safitri, S.Kom",35,Non-Student,F,flazz,1,Kampung Rambutan - Blok M,Rawa Barat,Kejaksaan Agung,2023-04-23 09:40:03,2023-04-23 12:16:28
502085435639,Janet Rajasa,17,Student,M,flazz,39,Universitas Indonesia - Lebak Bulus,RA Kartini,SMAN 38,2023-04-03 07:07:24,2023-04-28 20:33:22
502098244101,"Tgk. Talia Mangunsong, S.E.I",45,Non-Student,M,flazz,35,Ragunan - Gelora Bung Karno,Masjid Agung,Gelora Bung Karno,2023-04-03 06:29:45,2023-04-28 17:27:04
503808358074,Indah Hasanah,31,Non-Student,F,flazz,1,Kampung Rambutan - Bidara Cina,Cawang UKI,Pasar Kramat Jati,2023-04-14 13:04:21,2023-04-14 13:29:19
503808820412,Melinda Utami,30,Non-Student,F,flazz,39,Sarana Jaya - Tebet Eco Park (TEP) - Stasiun Cawang,Tebet Eco Park Selatan 2,Jln.Tebet Barat V,2023-04-03 09:32:51,2023-04-28 18:56:46
503811010654,Tina Ramadan,52,Non-Student,M,flazz,1,Senen - Lebak Bulus,Sbr. Goethe Institute,BRI Menteng,2023-04-25 06:53:41,2023-04-25 09:37:28
503815656676,Dadi Halim,28,Non-Student,F,flazz,4,Harmoni - Jakarta International Stadium,Jln. Kapuk 2,Pecenongan,2023-04-08 20:02:44,2023-04-29 17:52:52
503816903945,Lili Zulkarnain,20,Non-Student,F,flazz,1,Bekasi Barat - Kuningan,Kemenkes 1,Kuningan Madya 2,2023-04-08 21:40:17,2023-04-08 23:43:09
503835633655,Ade Suryono,29,Non-Student,F,flazz,4,Batusari - Grogol,Gerbang Tol Tj. Duren,KPU,2023-04-09 20:33:40,2023-04-30 08:05:05
503837878738,Rahmi Lazuardi,42,Non-Student,M,flazz,4,Ragunan - MH Thamrin via Kuningan,Departemen Pertanian,Flyover Klender,2023-04-08 08:55:05,2023-04-30 21:07:46
503841011862,drg. Mala Nugroho,43,Non-Student,F,flazz,14,Puri Beta - Pancoran Barat,Adam Malik,JORR,2023-04-13 09:44:56,2023-04-19 20:35:34
503841650990,Ir. Maria Setiawan,47,Non-Student,F,flazz,40,Summarecon Bekasi - BNN,Bandar Djakarta Bekasi,Cawang Blue Bird,2023-04-03 07:19:30,2023-04-28 19:53:59
503850400063,Olga Budiman,25,Non-Student,F,flazz,1,Jelambar - Juanda,Tomang Mandala,S Parman Podomoro City Arah Barat,2023-04-08 18:10:36,2023-04-08 20:09:37
503859106877,Tantri Utami,53,Non-Student,M,flazz,13,Gondangdia - Balai Kota,Selatan St. Gondangdia,Telkom Grapari,2023-04-13 07:54:25,2023-04-19 20:33:22
503861527151,Sarah Hardiansyah,58,Non-Student,F,flazz,1,Kampung Rambutan - Pinang Ranti,Jln. Mastrip,Term. Kampung Rambutan,2023-04-18 10:18:34,2023-04-18 12:51:39
503867890736,H. Anggabaya Fujiati,32,Non-Student,F,flazz,40,S. Parman - Tanah Abang,Jln. Kapuas Cideng Barat,Jln. Taman Kb. Sirih,2023-04-03 06:56:38,2023-04-28 20:52:01
503873796075,Ade Astuti,20,Non-Student,F,flazz,40,Cawang UKI - Lubang Buaya,Simpang Squadron,Kel. Halim Perdana Kusuma,2023-04-03 07:48:10,2023-04-28 23:04:38
503882172573,"Mahfud Salahudin, S.Farm",31,Non-Student,M,flazz,38,Batusari - Grogol,Jln. Delima Raya,Jln. Musyawarah Panjang Arteri,2023-04-03 08:36:26,2023-04-28 18:19:36
560124338883,"Harjaya Lazuardi, S.E.",51,Non-Student,F,flazz,40,Tanah Abang - Grogol via Tawakal,Museum Textile,Jak Lingko Tanah Abang,2023-04-03 06:35:50,2023-04-28 17:57:57
560633309896,Mursita Prastuti,26,Non-Student,M,flazz,4,Rusun Tambora - Pluit,Cawang UKI,Jembatan Dua,2023-04-08 12:19:25,2023-04-29 22:59:12
561500422432,"Sabrina Megantara, M.Farm",17,Student,F,flazz,1,Rusun Marunda - Tanjung Priok,Simpang Pitungan,Enggano,2023-04-30 17:08:35,2023-04-30 19:48:13
563170787110,Azalea Winarsih,30,Non-Student,F,flazz,36,Cilincing - Rorotan,Kel. Marunda,Malaka 1 Gg. Veteran,2023-04-03 08:15:25,2023-04-28 22:56:42
564493024850,"drg. Pranata Sihotang, M.Farm",31,Non-Student,F,flazz,4,Kampung Rambutan - Juanda via Pasar Baru,KUA Pasar Minggu,Jln. Manunggal II Petukangan,2023-04-09 09:41:43,2023-04-30 18:05:06
564770692288,Darimin Hutasoit,18,Student,M,flazz,4,Harapan Indah - ASMI,IGI,Bendungan Hilir,2023-04-08 18:13:06,2023-04-29 13:34:28
