transID,payCardID,payCardBank,payCardName,payCardSex,payCardBirthDate,corridorID,corridorName,direction,tapInStops,tapInStopsName,tapInStopsLat,tapInStopsLon,stopStartSeq,tapInTime,tapOutStops,tapOutStopsName,tapOutStopsLat,tapOutStopsLon,stopEndSeq,tapOutTime,payAmount,tapOutStatus,journeyTime,dayOfWeek,tapInHour,age,age_group,date
IVHH403J9T51JH,5134532253940704,dki,Suci Wacana,M,1985,12A,Pelabuhan Kaliadem - Kota,1.0,B05253P,SMAK Penabur Enam 2,-6.115644,106.77506,15,2023-04-03 06:12:41,B02709P,Pelabuhan Kali Adem,-6.104615,106.77094,18.0,2023-04-03 07:12:09,3500.0,with_data,59.46666666666667,Monday,6,39,Non-Student,2023-04-03
LUHQ016E0I55DV,5134532253940704,dki,Suci Wacana,M,1985,12A,Pelabuhan Kaliadem - Kota,0.0,B02804P,Perumahan Buddha Tzu Chi 1,-6.107548,106.77192,1,2023-04-03 16:49:36,B02489P,Muara Angke,-6.110009,106.77471,3.0,2023-04-03 17:51:45,3500.0,with_data,62.15,Monday,16,39,Non-Student,2023-04-03
HTLM761B1J90MO,5134532253940704,dki,Suci Wacana,M,1985,12A,Pelabuhan Kaliadem - Kota,1.0,B05253P,SMAK Penabur Enam 2,-6.115644,106.77506,15,2023-04-04 06:06:24,B02709P,Pelabuhan Kali Adem,-6.104615,106.77094,18.0,2023-04-04 06:43:13,3500.0,with_data,36.81666666666667,Tuesday,6,39,Non-Student,2023-04-04
SJFL154N6Y91BU,5134532253940704,dki,Suci Wacana,M,1985,12A,Pelabuhan Kaliadem - Kota,0.0,B02804P,Perumahan Buddha Tzu Chi 1,-6.107548,106.77192,1,2023-04-04 16:21:20,B02489P,Muara Angke,-6.110009,106.77471,3.0,2023-04-04 18:15:49,3500.0,with_data,114.48333333333333,Tuesday,16,39,Non-Student,2023-04-04
EXVY063V0F64DF,5134532253940704,dki,Suci Wacana,M,1985,12A,Pelabuhan Kaliadem - Kota,1.0,B05253P,SMAK Penabur Enam 2,-6.115644,106.77506,15,2023-04-05 05:40:33,B02709P,Pelabuhan Kali Adem,-6.104615,106.77094,18.0,2023-04-05 06:21:15,3500.0,with_data,40.7,Wednesday,5,39,Non-Student,2023-04-05
DBGK651T6Z11IX,5134532253940704,dki,Suci Wacana,M,1985,12A,Pelabuhan Kaliadem - Kota,0.0,B02804P,Perumahan Buddha Tzu Chi 1,-6.107548,106.77192,1,2023-04-05 16:52:29,B02489P,Muara Angke,-6.110009,106.77471,3.0,2023-04-05 18:05:17,3500.0,with_data,72.8,Wednesday,16,39,Non-Student,2023-04-05
BPHQ671T2X56TC,5134532253940704,dki,Suci Wacana,M,1985,12A,Pelabuhan Kaliadem - Kota,1.0,B05253P,SMAK Penabur Enam 2,-6.115644,106.77506,15,2023-04-06 05:19:44,B02709P,Pelabuhan Kali Adem,-6.104615,106.77094,18.0,2023-04-06 06:03:11,3500.0,with_data,43.45,Thursday,5,39,Non-Student,2023-04-06
QNZR355Z8L49GQ,5134532253940704,dki,Suci Wacana,M,1985,12A,Pelabuhan Kaliadem - Kota,0.0,B02804P,Perumahan Buddha Tzu Chi 1,-6.107548,106.77192,1,2023-04-06 17:00:44,B02489P,Muara Angke,-6.110009,106.77471,3.0,2023-04-06 18:56:19,3500.0,with_data,115.58333333333333,Thursday,17,39,Non-Student,2023-04-06
MNOY938N4G82GH,5134532253940704,dki,Suci Wacana,M,1985,12A,Pelabuhan Kaliadem - Kota,1.0,B05253P,SMAK Penabur Enam 2,-6.115644,106.77506,15,2023-04-07 05:53:16,B02709P,Pelabuhan Kali Adem,-6.104615,106.77094,18.0,2023-04-07 06:20:43,3500.0,with_data,27.45,Friday,5,39,Non-Student,2023-04-07
ETSI887Z6U36UQ,5134532253940704,dki,Suci Wacana,M,1985,12A,Pelabuhan Kaliadem - Kota,0.0,B02804P,Perumahan Buddha Tzu Chi 1,-6.107548,106.77192,1,2023-04-07 17:50:06,B02489P,Muara Angke,-6.110009,106.77471,3.0,2023-04-07 19:14:31,3500.0,with_data,84.41666666666667,Friday,17,39,Non-Student,2023-04-07
